, ,Area,Mean,Min,Max,Skew,IC,KT,image,Perim.,BX,BY,Width,Height,IntDen,RawIntDen,location,Radius
214,18,0.087,101.0,78,136,0.528,1,0,6,1.311,16.115,46.841,0.421,0.481,8.764,2424.0,IC,0.166
215,19,0.058,105.938,73,152,0.31,0,0,6,0.971,18.039,46.721,0.361,0.301,6.128,1695.0,nonIC,0.136
216,20,0.076,97.619,77,125,0.166,0,0,6,1.091,17.979,46.18,0.421,0.301,7.412,2050.0,nonIC,0.156
217,21,0.123,91.294,65,148,0.85,0,0,6,1.721,17.798,45.639,0.601,0.361,11.223,3104.0,nonIC,0.198
218,22,0.174,79.854,52,133,0.811,1,0,6,2.182,17.678,44.737,0.481,0.722,13.859,3833.0,IC,0.235
219,23,0.058,123.625,96,167,0.37,0,0,6,0.935,23.03,47.082,0.301,0.301,7.152,1978.0,nonIC,0.136
220,24,0.007,144.5,138,151,0.0,0,0,6,0.255,23.571,46.962,0.12,0.06,1.045,289.0,nonIC,0.047
221,25,0.069,128.737,84,187,0.306,1,0,6,0.956,24.172,46.48,0.361,0.241,8.844,2446.0,IC,0.148
222,26,0.025,148.857,118,189,0.601,0,0,6,0.51,25.134,48.585,0.18,0.18,3.767,1042.0,nonIC,0.089
223,27,0.271,84.947,61,131,0.569,1,0,6,3.534,23.691,48.826,1.203,0.541,23.035,6371.0,IC,0.294
224,28,0.058,159.438,115,221,0.509,0,0,6,0.886,24.774,44.436,0.361,0.241,9.223,2551.0,nonIC,0.136
225,29,0.043,97.167,78,124,0.383,0,0,6,0.801,25.495,43.654,0.301,0.241,4.216,1166.0,nonIC,0.117
226,30,0.145,106.8,92,132,0.494,1,0,6,2.252,25.074,43.955,0.842,0.481,15.446,4272.0,IC,0.215
227,31,0.17,133.489,108,167,0.183,1,0,6,1.962,28.802,39.445,0.541,0.661,22.684,6274.0,IC,0.233
228,32,0.054,110.667,88,139,0.131,0,0,6,0.801,29.404,40.467,0.301,0.241,6.002,1660.0,nonIC,0.131
229,33,0.08,134.682,109,167,0.398,1,0,6,1.176,25.134,35.657,0.361,0.421,10.713,2963.0,IC,0.16
230,34,0.058,110.812,92,135,0.426,0,1,6,0.921,25.555,35.958,0.301,0.301,6.41,1773.0,KT,0.136
231,35,0.054,96.6,81,120,0.348,0,0,6,0.836,24.894,36.198,0.301,0.241,5.239,1449.0,nonIC,0.131
232,36,0.069,111.895,85,155,0.62,0,0,6,1.126,21.647,32.59,0.361,0.361,7.687,2126.0,nonIC,0.148
233,37,0.069,132.737,94,191,0.583,0,0,6,0.991,22.008,32.35,0.361,0.241,9.119,2522.0,nonIC,0.148
234,38,0.069,156.579,132,190,0.223,1,0,6,0.921,22.489,31.989,0.301,0.301,10.756,2975.0,IC,0.148
235,39,0.051,124.714,96,157,0.3,0,0,6,0.886,12.868,39.986,0.301,0.301,6.313,1746.0,nonIC,0.127
236,40,0.108,108.8,78,172,0.77,0,0,6,1.296,12.447,39.505,0.421,0.421,11.801,3264.0,nonIC,0.185
237,41,0.054,106.4,86,136,0.568,0,0,6,0.801,12.146,39.325,0.241,0.301,5.771,1596.0,nonIC,0.131
238,42,0.058,83.438,60,117,0.46,0,0,6,1.041,11.785,39.084,0.421,0.241,4.827,1335.0,nonIC,0.136
239,43,0.04,105.545,81,155,0.84,1,0,6,0.666,17.618,38.964,0.241,0.18,4.198,1161.0,IC,0.113
240,44,0.101,81.821,58,127,1.058,0,0,6,1.211,18.34,38.844,0.481,0.301,8.283,2291.0,nonIC,0.179
241,45,0.04,123.182,107,147,0.672,0,0,6,0.716,16.716,38.844,0.241,0.241,4.899,1355.0,nonIC,0.113
242,46,0.025,85.143,71,111,0.795,0,0,6,0.545,16.235,38.664,0.18,0.18,2.155,596.0,nonIC,0.089
243,47,0.036,167.0,134,217,0.808,0,0,6,0.666,25.736,32.35,0.241,0.18,6.038,1670.0,nonIC,0.107
244,48,0.061,128.647,111,154,0.555,1,0,6,1.006,25.676,31.869,0.361,0.301,7.907,2187.0,IC,0.139
245,49,0.054,114.8,103,136,0.828,0,0,6,1.006,25.676,31.147,0.301,0.361,6.226,1722.0,nonIC,0.131
246,50,0.025,131.429,111,148,-0.131,0,0,6,0.545,25.615,30.907,0.18,0.18,3.326,920.0,nonIC,0.089
247,51,0.072,100.2,81,127,0.473,1,0,6,1.246,25.555,30.486,0.541,0.241,7.246,2004.0,IC,0.151
248,52,0.065,131.5,97,175,0.16,0,0,6,0.921,25.375,29.704,0.301,0.301,8.558,2367.0,nonIC,0.144
249,53,0.022,118.833,102,142,0.52,0,0,6,0.51,25.375,29.283,0.18,0.18,2.578,713.0,nonIC,0.084
250,54,0.083,164.13,124,216,0.588,1,0,6,1.161,27.54,29.223,0.241,0.421,13.649,3775.0,IC,0.163
