rand_ID,cpc,cohesin,e,time,chr_length,distances
10,0.2,0.09,0.0089,0.005302,3.186890,[0.325648125662681 0.333393618615008 0.441180331472939 0.498643570792012 0.415523611429964 0.459102278894707 0.587352831959275 1.03910538514866 0.442327125526937 0.445251104961258 0.964755909816446] 
10,0.2,0.09,0.0089,0.028709,3.667930,[] 
10,0.2,0.09,0.0089,0.007956,2.224810,[0.498643570792012 0.415523611429964 1.04645511085398 1.03910538514866 0.442327125526937 0.445251104961258] 
10,0.2,0.09,0.0089,0.027722,2.765980,[] 
20,0.2,0.09,0.0089,0.006712,2.705850,[0.470704637814918 0.934115913236708 1.07148819987743 0.710546665506987 0.388251221360217 0.43076500110837 0.489126257226648 0.603095512912607] 
20,0.2,0.09,0.0089,0.011206,1.262730,1.07148819987743 
20,0.2,0.09,0.0089,0.002625,4.389490,[0.517410047386151 0.470704637814918 0.357308419220465 0.576807494016243 0.222740572505905 0.313429542798653 0.535318084572867 0.710546665506987 0.388251221360217 0.43076500110837 0.489126257226648 0.456659788515139 0.53765333791369] 
20,0.2,0.09,0.0089,0.019200,1.623510,[1.07148819987743 1.52956288797557] 
20,0.2,0.09,0.0089,0.005417,2.465330,[0.357308419220465 0.576807494016243 1.07148819987743 0.710546665506987 0.388251221360217 0.43076500110837 0.489126257226648 0.337882251958048] 
20,0.2,0.09,0.0089,0.001350,2.645720,[] 
20,0.2,0.09,0.0089,0.021687,2.826110,[1.40482055105163 1.07148819987743 1.52956288797557] 
20,0.2,0.09,0.0089,0.010419,3.186890,[1.40482055105163 1.07148819987743 0.710546665506987 0.819016222468587] 
20,0.2,0.09,0.0089,0.019810,3.667930,[1.40482055105163 1.07148819987743 1.52956288797557] 
20,0.2,0.09,0.0089,0.011510,2.224810,[1.07148819987743 1.52956288797557] 
20,0.2,0.09,0.0089,0.018810,2.765980,[1.40482055105163 1.07148819987743 1.52956288797557] 
19,0.35,0.09,0.0089,0.000648,2.705850,[] 
19,0.35,0.09,0.0089,0.027315,1.262730,[] 
19,0.35,0.09,0.0089,0.024014,4.389490,[2.18558419937174 0.723705618265559] 
19,0.35,0.09,0.0089,0.022371,1.623510,[] 
19,0.35,0.09,0.0089,0.024388,2.465330,2.18558419937174 
19,0.35,0.09,0.0089,0.011496,2.645720,[0.493136498859233 0.880894306117971 1.26131722361677 1.18092031408733 0.439934530537784 0.564729354746628] 
19,0.35,0.09,0.0089,0.018512,2.826110,[2.63534802859398 2.18558419937174] 
19,0.35,0.09,0.0089,0.017258,3.186890,[2.63534802859398 2.18558419937174 0.723705618265559] 
19,0.35,0.09,0.0089,0.015895,3.667930,[1.3740308049772 1.26131722361677 2.18558419937174 0.723705618265559] 
19,0.35,0.09,0.0089,0.008247,2.224810,[0.566240531734973 0.314653774382998 0.458852836883019 0.802464386733753 1.18092031408733 0.439934530537784 0.564729354746628] 
19,0.35,0.09,0.0089,0.007454,2.765980,[0.493136498859233 0.566240531734973 0.314653774382998 0.458852836883019 0.802464386733753 0.761938451615149 0.418981862472176 0.439934530537784 0.564729354746628] 
9,0.35,0.09,0.0089,0.013548,2.705850,[0.997075723022579 1.46984149987927 1.64591893542572 1.03482604021768] 
9,0.35,0.09,0.0089,0.006830,1.262730,[0.34903366859324 0.744057801035447 0.754927536352832 0.334242265646918] 
9,0.35,0.09,0.0089,0.024130,4.389490,1.64591893542572 
9,0.35,0.09,0.0089,0.029578,1.623510,[] 
9,0.35,0.09,0.0089,0.000899,2.465330,1.83430245666853 
9,0.35,0.09,0.0089,0.016066,2.645720,[0.997075723022579 1.46984149987927 1.64591893542572] 
9,0.35,0.09,0.0089,0.002611,2.826110,[0.510910789043487 0.486164933979092 0.376750030250578 0.34903366859324 0.744057801035447 0.754927536352832 0.334242265646918 0.556749133425974 0.56655082187077 0.46827521834691] 
9,0.35,0.09,0.0089,0.024054,3.186890,1.64591893542572 
9,0.35,0.09,0.0089,0.029662,3.667930,1.64591893542572 
9,0.35,0.09,0.0089,0.002007,2.224810,[0.486164933979092 0.376750030250578 1.09309146962869] 
9,0.35,0.09,0.0089,0.028168,2.765980,1.64591893542572 
18,0.3,0.09,0.0089,0.000545,2.705850,[] 
18,0.3,0.09,0.0089,0.020514,1.262730,[] 
18,0.3,0.09,0.0089,0.023509,4.389490,[] 
18,0.3,0.09,0.0089,0.016022,1.623510,[] 
18,0.3,0.09,0.0089,0.026555,2.465330,[] 
18,0.3,0.09,0.0089,0.026962,2.645720,[] 
18,0.3,0.09,0.0089,0.018771,2.826110,[1.86236333373409 2.36388200413966] 
18,0.3,0.09,0.0089,0.004134,3.186890,[0.298885245789258 0.497665165209192 0.402729454207745 0.495303871999505 0.297677657528024 0.394449939789044 0.674931864417512 0.81000121075468 0.50035639272417 0.586586782341005 0.466937618319803 0.5674290372382] 
18,0.3,0.09,0.0089,0.006531,3.667930,[0.298885245789258 0.497665165209192 0.402729454207745 0.792981529527529 1.06938180420656 0.81000121075468 0.50035639272417 0.586586782341005 0.466937618319803 0.5674290372382] 
18,0.3,0.09,0.0089,0.005461,2.224810,[0.495303871999505 0.297677657528024 0.394449939789044 0.674931864417512 0.81000121075468 0.50035639272417 0.586586782341005] 
18,0.3,0.09,0.0089,0.001253,2.765980,[1.80133677581864 1.81259391550732] 
8,0.3,0.09,0.0089,0.003207,2.705850,[0.49968979365422 0.586593531965328 0.683554743518689 0.672605100566026 0.717054335255077 0.373395927923946 0.380720095437145 0.495114628173326 0.40949112599872 0.289455225366314] 
8,0.3,0.09,0.0089,0.018492,1.262730,[] 
8,0.3,0.09,0.0089,0.028186,4.389490,2.44244316970426 
8,0.3,0.09,0.0089,0.010631,1.623510,[0.37576184550304 1.09728573251959 1.47117035861617] 
8,0.3,0.09,0.0089,0.012315,2.465330,[0.969395591681633 0.37576184550304 1.09728573251959 1.47117035861617 0.495114628173326] 
8,0.3,0.09,0.0089,0.029523,2.645720,2.44244316970426 
8,0.3,0.09,0.0089,0.028358,2.826110,2.44244316970426 
8,0.3,0.09,0.0089,0.020291,3.186890,[0.969395591681633 1.47304757802263] 
8,0.3,0.09,0.0089,0.029637,3.667930,2.44244316970426 
8,0.3,0.09,0.0089,0.022993,2.224810,1.47304757802263 
8,0.3,0.09,0.0089,0.010095,2.765980,[0.969395591681633 0.37576184550304 1.09728573251959 1.47117035861617 0.495114628173326] 
